ev_id,Aircraft_Key,crew_no,crew_category,crew_age,med_certf,med_crtf_vldty,date_lst_med,crew_rat_endorse,crew_tox_perf,pc_profession,bfr,bfr_date,ft_as_of,pilot_flying
20080305X00268,1,1,PLT,49.0,CL1,4.0,2007/9/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/12/1 00:00:00,0.0,
20080305X00268,1,2,CPLT,26.0,CL1,4.0,2007/6/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/12/1 00:00:00,0.0,
20080305X00269,1,1,DSTU,46.0,CL3,4.0,2007/10/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2008-01-01,0.0,
20080305X00271,1,1,PLT,35.0,CL3,4.0,2007/10/23 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2007/2/1 00:00:00,0.0,
20080305X00272,1,1,PLT,48.0,CL3,4.0,2007/6/25 00:00:00,UNKNOWN,N,NO,UNKNOWN,2007/3/14 00:00:00,0.0,
20080306X00273,1,1,PLT,51.0,CL2,4.0,2007/8/1 00:00:00,UNKNOWN,N,UNK,UNKNOWN,2006/8/1 00:00:00,0.0,
20080306X00274,1,1,PLT,56.0,CL3,4.0,2007/6/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2008-01-01,0.0,
20080306X00275,1,1,FLTI,37.0,CL2,4.0,2007/12/1 00:00:00,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080306X00275,1,2,DSTU,24.0,CL2,4.0,2008/1/1 00:00:00,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080306X00276,1,1,PLT,32.0,CL3,4.0,2007/2/1 00:00:00,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080306X00277,1,1,PLT,72.0,CL3,4.0,2007/4/1 00:00:00,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080306X00278,1,1,PLT,57.0,CL1,4.0,2007/4/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2008/1/1 00:00:00,0.0,
20080306X00279,1,1,PLT,49.0,CL1,4.0,2007/9/1 00:00:00,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080306X00280,1,1,PLT,56.0,CL1,4.0,2007/12/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/11/1 00:00:00,0.0,
20080306X00280,1,2,CPLT,31.0,CL1,4.0,2007/10/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/10/1 00:00:00,0.0,
